,id,movie,year,rating,genre,runtime,imdb,metascore,votes,review_quality
166,166,Pixels,2015,PG-13,"['Action', ' Comedy', ' Fantasy']",105,56,27,149495,0
167,167,2012,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",158,58,49,384731,0
168,168,Escape Room,2019,PG-13,"['Action', ' Adventure', ' Horror']",99,64,48,128672,0
169,169,Aquaman,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",143,68,55,487571,2
170,170,Slither,2006,R,"['Comedy', ' Horror', ' Sci-Fi']",95,65,69,84990,2
171,171,Planet of the Apes,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,57,50,222995,0
172,172,Men in Black,1997,PG-13,"['Action', ' Adventure', ' Comedy']",98,73,71,581143,1
173,173,Power Rangers,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",124,59,44,110645,0
174,174,Blade,1998,R,"['Action', ' Horror', ' Sci-Fi']",120,71,47,282589,2
175,175,The Hunger Games: Mockingjay - Part 1,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,66,64,468517,2
176,176,In Time,2011,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,67,53,420766,2
177,177,Spy Kids,2001,PG,"['Action', ' Adventure', ' Comedy']",88,56,71,121102,2
178,178,Dredd,2012,R,"['Action', ' Crime', ' Sci-Fi']",95,71,60,281209,2
179,179,X-Men: Apocalypse,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,69,52,443791,2
180,180,Knowing,2009,PG-13,"['Action', ' Mystery', ' Sci-Fi']",121,62,41,239042,0
181,181,Snowpiercer,2013,R,"['Action', ' Drama', ' Sci-Fi']",126,71,84,369676,2
182,182,Predestination,2014,R,"['Action', ' Drama', ' Sci-Fi']",97,74,69,289784,2
183,183,Venom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,66,35,500697,0
184,184,The Chronicles of Riddick,2004,R,"['Action', ' Adventure', ' Sci-Fi']",119,66,38,234586,0
185,185,Pokémon: Detective Pikachu,2019,PG,"['Action', ' Adventure', ' Comedy']",104,65,53,169460,2
186,186,Despicable Me,2010,PG,"['Animation', ' Adventure', ' Comedy']",95,76,72,558131,1
187,187,Terminator: Dark Fate,2019,R,"['Action', ' Adventure', ' Sci-Fi']",128,62,54,183278,0
188,188,Planet of the Apes,1968,G,"['Adventure', ' Sci-Fi']",112,80,79,184335,2
189,189,Total Recall,1990,R,"['Action', ' Adventure', ' Sci-Fi']",113,75,60,339063,2
190,190,Bird Box,2018,R,"['Horror', ' Mystery', ' Sci-Fi']",124,66,51,355558,2
191,191,The Running Man,1987,R,"['Action', ' Sci-Fi', ' Thriller']",101,67,45,158214,0
192,192,The Day After Tomorrow,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,64,47,458117,0
193,193,Spider-Man: Far from Home,2019,PG-13,"['Action', ' Adventure', ' Comedy']",129,74,69,510419,2
194,194,Cloud Atlas,2012,R,"['Drama', ' Mystery', ' Sci-Fi']",172,74,55,366586,2
195,195,Batman v Superman: Dawn of Justice,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,64,44,709566,0
196,196,Captain America: Civil War,2016,PG-13,"['Action', ' Sci-Fi']",147,78,75,805888,1
197,197,The Predator,2018,R,"['Action', ' Adventure', ' Horror']",107,53,48,137032,0
198,198,Army of the Dead,2021,R,"['Action', ' Crime', ' Drama']",148,57,57,177264,0
199,199,Kids vs. Aliens,2022,TV-MA,"['Horror', ' Sci-Fi']",75,53,51,458,0
